"sku","ean","price","tax","name","image","category","main_color","other_colors","Kurzbeschreibung","Detailierte Beschreibung","Lebenserwartung","description","description_long","fun_fact","scientific_name","Conservation Status","Primary Habitat","Global Home","height","width","depth","No Warning Notice","Functional Description 1"
"136823",4005086136823,359,"0.19","Shropshire Schäfchen","2015_72_RGB_13682.jpg","Wald und Wiese","rot","blau, schwarz","Ein schwarzes Köpfchen und ein weißes Fell machen dieses Schaf zu einem der Beliebtesten","Das Shropshire-Schaf ist eine alte Hausschafrasse, die aus England stammt. Das Shrophshire-Schaf ist ein mittelgroßes, wüchsiges Fleischschaf mit einem langen, tiefen Rumpf und breitem Rücken.",10,"Shropshire Schafe sind eine alte, englische Hausrasse mit hellem Fell und dunklem Kopf. ","Shropshire Schafe sind eine alte englische Hausschafrasse mit hellem Fell und dunklem Kopf. Es sind sehr genügsame Tiere und deshalb bei Farmern sehr beliebt. Gerne setzt man sie zur Beweidung in Obst- und Nadelbaumkulturen ein, da sie die jungen Triebe nicht verbeißen. ","Shropshire Schafe sind wegen ihres witzigen Aussehens schon lange zu Helden verschiedener Kinderserien geworden. Als Knetfiguren erleben sie lustige Abenteuer.","","","","","5,0","5,5","2,0","nicht kennzeichnungspflichtig",""
"137288",4005086137288,599,"0.19","Pfau","2015_72_RGB_13728.jpg","Wilde Tiere","rot","blau, schwarz","Der Pfau - ein stolzes Huhn!","Der Pfau gehört zur Ordnung der Hühnervögel und ist neben dem Fasan und dem Haushuhn einer der bekanntesten Vertreter dieser Vogelgruppe.",30,"Das Bild der Pfauen prägen die Hähne mit ihrem prächtigen Federkleid. In der Balz versuchen sie damit, die eher unscheinbaren Hennen für sich zu gewinnen.","Das auffälligste Merkmal im Prachtkleid ausgewachsener Hähne ist das aus ca. 150 Federn bestehende Schwanzgefieder, das in der Balz zu einem beeindruckenden Rad geschlagen wird. Jede Schmuckfeder trägt an ihrem Ende einen Augenfleck. Auch die Hennen tragen eine kleine Federkrone auf dem Scheitel, sind ansonsten aber eher unscheinbar.","Das Prachtkleid der Pfauen besteht aus ca. 150 Federn.","Pavo cristatus","","","","12,0","5,0","1,0","nicht kennzeichnungspflichtig",""
"137455",4005086137455,359,"0.19","Schäfchen, liegend","2015_72_RGB_13745.jpg","Wald und Wiese","rot","blau, schwarz","Das Wollkneuel vom Deich","Schafe sind seit etwa 10.000 Jahren vom Menschen domestiziert. Deshalb gibt es eine klare Unterscheidung zwischen Hausschafen und Wildschafen. Dies ist ein Hausschäfchen",10,"Mit ihrem dicken, flauschigen Fell sind Schafe an jedem Ort vor Kälte geschützt.","Schafe werden seit Jahrhunderten als landwirtschaftliche Nutztiere gehalten und liefern Fleisch, Haut und Wolle. Als Pflanzenfresser und Wiederkäuer sind Schafe abwechselnd mit Grasen und Wiederkäuen beschäftigt. Da es Hunderte von Schafrassen gibt, können sich diese Säugetiere erheblich im Hinblick auf Fell und Größe unterscheiden. Schafe wiegen zwischen 45 und 180 Kilo und können zehn bis zwanzig Jahre alt werden. Ihr eingeschränktes räumliches Sehvermögen gleichen Schafe durch ein ausgezeichnetes Gehör und einen sehr empfindlichen Geruchssinn aus. In der Herde folgen Schafe meist den Anweisungen eines Schäfers, sie haben aber auch ihre eigene Rangordnung.","Schafe können hinter sich sehen, ohne den Kopf zu bewegen.","Ovis orientalis aries","","domesticated#","worldwide","3,0","5,0","2,5","nicht kennzeichnungspflichtig",""
"137479",4005086137479,499,"0.19","Hängebauchschwein","2015_72_RGB_13747.jpg","Wald und Wiese","rot","blau, schwarz","Ein tiefergelegtes Hausschwein","Das Hängebauchschwein kommt aus Südostasien und stammt vom Hausschwein ab. Der Name ist aus dem fast auf dem Boden schleifenden Bauch abgeleitet.",15,"Hängebauchschweine haben einen gedrungenen Körperbau und einen weit herab hängenden Bauch, dem sie ihren Namen verdanken.","Das Hängebauchschwein wird auch als vietnamesisches Hängebauchschwein bezeichnet, weil es aus Südostasien stammt. Hängebauchschweine tragen ihren Namen wegen ihres auffälligen, gedrungenen Körperbaus mit kurzen Beinen und tief herabhängendem Bauch. Mancherorts sind sie eine Attraktion in Streichelzoos oder werden sogar als Haustiere gehalten.","Bei manchen Hängebauchschweinen schleift der Bauch fast am Boden.","Sus scrofa domnestica","","domesticated#","asia","3,5","7,5","3,0","nicht kennzeichnungspflichtig",""
"137837",4005086137837,359,"0.19","Ferkel, stehend","2015_72_RGB_13783_VAR_v15_TP.jpg","Wald und Wiese","rot","blau, schwarz","Es kann schon laufen","Säue kümmern sich gut um ihre jungen Ferkel. Deshalb sieht dieses Ferkel auch so gesund und munter aus.",15,"Ferkel kommen mit zahlreichen Geschwistern auf die Welt. In der Regel umfasst ein Wurf 10-14 Tiere.","Schweine sind sehr soziale Tiere und kümmern sich liebevoll um ihren Wurf. Wenn sie draußen zur Welt kommen dürfen, graben trächtige Säue vorher eine heimelige Kuhle und betten diese mit weichen Ästen, Gras und Blättern aus. Darin kommen die Kleinen dann zur Welt und suchen schon wenige Minuten nach der Geburt den Weg zur Zitze, um leckere Muttermilch zu schlabbern. Beim Säugen singt ihre Mutter ihnen sogar ein Lied vor. Zumindest klingt das in den Ohren der Ferkel so. Es besteht aus Grunzlauten in verschiedenen Tonlagen und Abständen. ","Säue singen ihren Ferkeln während des Säugens ein Lied vor.","Sus scrofa domestica","domestiziert","","weltweit","3,0","5,7","1,8","nicht kennzeichnungspflichtig",""
"143210",4005086143210,499,"0.19","Giraffenbaby","2015_72_RGB_14321.jpg","Wilde Tiere","rot","blau, schwarz","Macht einen langen Hals","Schon bei der Geburt sind die Giraffenbaby so groß wie ein ausgewachsener Mensch. Giraffen kommen vornehmlich in Afrika vor",25,"Giraffen können bis 6 Meter hoch werden. Der extrem lange Hals, die langen, dünnen Beine und ihr geflecktes Fell verleihen ihr, ihr typisches Aussehen.","Giraffen sind mit bis zu 6 Metern die am höchsten aufragenden Landsäugetiere - ihre Kälber können bei der Geburt bereits 1,80 Meter hoch sein! Jede Giraffe hat ein einzigartiges Fellmuster -- die Unterarten der Giraffe werden anhand von Farb- und Mustervariationen sowie nach der geographischen Verbreitung unterschieden. Einige Giraffen sind an rundlichen oder ungleichmäßig geformten Flecken zu erkennen -- andere an sternförmigen Flecken auf hellbraunem Untergrund, die sich bis zu den Hufen hinunterziehen. Trotz ihres ungewöhnlich langen Halses hat die Giraffe die gleiche Anzahl Halswirbel wie der Mensch, nämlich sieben. Giraffen finden ihre Nahrung überall in den Wäldern und Savannen des südlichen Afrika, indem sie die jungen Triebe in den Baumkronen abweiden. Wie Kamele können Giraffen zwei oder drei Tage ohne Wasser auskommen. Auf dem Kopf tragen sie mehrere fellüberzogene hornartige Knochenzapfen. Giraffen schlafen nie länger als eine Stunde und können einen ganzen Tag ohne Schlaf auskommen. Den größten Teil des Tages schlendern Giraffen gemütlich umher, können aber bei Bedarf auch Geschwindigkeiten von bis zu 55 Stundenkilometern erreichen! Manche Giraffen leben in Herden von bis zu fünfzehn Tieren, aber die soziale Struktur ändert sich ","Giraffen brauchen ein riesiges Herz, das das Blut bis hinauf zum Kopf pumpt. Außerdem haben sie eine 50cm lange, blaugraue Greifzunge.","Giraffa camelopardalis","Ungefährdet (LC)","Savanne","Afrika","9,0","1,0","2,5","nicht kennzeichnungspflichtig",""
"143647",4005086143647,359,"0.19","Löwenjunges","2015_72_RGB_14364.jpg","Wilde Tiere","rot","blau, schwarz","Prinz der Tiere","Löwen sind eine Art von Katzen. Junge Löwen haben noch keine Mähne. ",12,"Löwen sind die größten Raubkatzen Afrikas. Ihr Fell ist meist sandfarben und erwachsene Männchen haben eine dunkle Mähne.","Löwen durchstreifen die afrikanische Savanne in Rudeln, die aus miteinander verwandten Weibchen, deren Jungen und einem einzelnen Männchen bestehen. Wenn ein Männchen das Erwachsenenalter erreicht, wird es aus dem Rudel verstoßen und muss sich eine eigene Gruppe suchen. Löwinnen jagen im Team. Gemeinsam können sie große Beutetiere wie Zebras, Büffel, Giraffen, Flusspferde und sogar junge Elefanten überwältigen, aber sie verschmähen auch die Reste von Mahlzeiten anderer Tiere nicht. Löwen schlafen bis zu zwanzig Stunden pro Tag und sowohl Männchen als auch Weibchen verteidigen ihr Rudel gegen fremde Eindringlinge. Das Brüllen eines Löwen ist sehr laut und in einer Entfernung von bis zu acht Kilometern hörbar. Löwen brüllen, um miteinander zu kommunizieren und Eindringlinge abzuschrecken. Männchen und Weibchen haben hellbraunes Fell. Männchen haben dicke, braune Mähnen, die im Laufe ihres Lebens länger und dunkler werden.","Löwen leben im Rudel, das von einem starken Männchen angeführt wird. Meist jagen die Weibchen gemeinsam  Gnus oder Antilopen.","Panthera leo","Gefährdet (VU)","Wüste","Afrika","4,5","7,5","2,5","nicht kennzeichnungspflichtig",""
"143654",4005086143654,599,"0.19","Seelöwe","2015_72_RGB_14365.jpg","Meere","rot","blau, schwarz","Der König der Meerestiere","Der Seelöwe gehört zu den Ohrenrobben. Es gibt viele verschiedene Arten von Seelöwen. Die längsten können bis zu 3.5 Meter lang werden.",20,"Dank ihrer Flossen und des stromlinienförmigen Körpers sind Seelöwen anmutige, schnelle Schwimmer.","Seelöwen haben große, unbehaarte Flossen, mithilfe derer sie ihre Körpertemperatur regulieren können. Der restliche Körper ist mit dichtem Fell bedeckt, einer Mischung aus dauerhaftem Unterfell und längeren Deckhaaren, die jährlich nachwachsen. Seelöwen können bis zu 200 Meter tief (viel tiefer als andere Robben) tauchen, um nach Fischen wie Heringen, Sardellen und Tintenfischen zu jagen. Sie halten sich überwiegend im Wasser auf, aber während der Paarungszeit herrscht an den dazu aufgesuchten Stränden ein ziemliches Gedränge. Die meisten machen sich im Mai zu den Paarungsgründen auf, und die Jungen kommen im Juni zur Welt. Die Bullen sind polygam, das heißt, sie paaren sich mit mehreren Weibchen. Die Männchen sind deutlich größer als die Weibchen und sehr kraftvolle Tiere.Sie sichern ihr eigenes Territorium gegen andere Bullen und verteidigen ihren Harem. Seelöwen haben eine Lebenserwartung von fast dreißig Jahren.","Seelöwen werden gerne in Zoos und im Zirkus mit ihren Kunststücken vorgeführt.","Callorhinus ursinus","Gefährdet (VU)","Küste","Meere","7,0","1,5","1,0","nicht kennzeichnungspflichtig",""
"143913",4005086143913,599,"0.19","Zebra Hengst","2015_72_RGB_14391.jpg","Wilde Tiere","rot","blau, schwarz","Ein Streifenpferd?","Zebras waren nie Nutztiere für Menschen. Sie leben in Afrika. Ihre Streifen verwirren Fressgegner und halten Fliegen ab",20,"Zebras sind eine afrikanische Wildpferdeart, die leichtan ihrem auffälligen schwarzweißen Streifenmuster zu erkennen ist. ","Diese pferdeartigen Tiere mit glänzendem, gestreiftem Fell leben in den Savannen Ost- und Südafrikas, wo sie den größten Teil des Tages damit beschäftigt sind, Gras, Blätter, Rinde, Wurzeln und Stängel zu fressen. Jedes Zebra hat ein ganz individuelles Muster. Das Steppenzebra trägt breite Streifen (die sich am Bauch fortsetzen) sowie dünnere ""Schattenstreifen"" am Hinterteil. Sein ausgezeichnetes Gehör und seine scharfen Augen helfen ihm, Raubtieren zu entkommen. Zebras leben meist in Familiengruppen, die sich aus einem Hengst und mehreren Stuten zusammensetzen, bilden aber auch oft große Herden aus mehreren Hundert Zebras. Einmal im Jahr kommen Hunderttausende zu einer Wanderung auf der Suche nach Nahrung und Wasser zusammen. Manchmal vermischen sich diese Herden mit Gnus, Straußen und Antilopen. Zebras sind im Allgemeinen recht schreckhaft (was man ihnen angesichts all der Löwen und Hyänen in ihrer Nähe nicht verdenken kann) und ziemlich laut. Sie kommunizieren durch Wiehern, Jaulen und Bellen miteinander. Sie entfernen sich nie zu weit von einer Wasserquelle und können in freier Wildbahn etwa dreißig Jahre alt werden.","Zebras können nachts gut sehen, was ihnen hilft, Raubtiere im Auge zu behalten und bei Gefahr rechtzeitig zu flüchten.","Equus quagga","Ungefährdet (LC)","Savanne","Afrika","9,5","1,5","5,0","nicht kennzeichnungspflichtig",""
"146013",4005086146013,499,"0.19","Riesenschildkröte","2015_72_RGB_14601.jpg","Wilde Tiere","rot","blau, schwarz","Hat alle Zeit der Welt","Riesenschildkröten kommen auf mehreren Inselgruppen vor. Besonders beeindruckend ist das hohe Alter, das diese erreichen können. Eine angeblich von Charles Darwin gefangene Riesenschildkröte ist erst 2006 verstorben.",150,"#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV"
